city,lat,lng,max temperature,humidity,cloudiness,wind speed,country,date
besikduzu,41.0527305,39.2280377,73.49,85.0,0.0,3.83,TR,1659133528.0
rundu,-17.913716,19.7672535,58.55,32.0,9.0,4.56,NA,1659133529.0
deputatskiy,54.8408485,61.1269918,59.68,79.0,100.0,7.61,RU,1659133529.0
georgetown,6.8137426,-58.1624465,82.38,83.0,20.0,4.61,GY,1659133530.0
iqaluit,63.74944,-68.521857,49.95,71.0,100.0,6.91,CA,1659133530.0
gorontalo,0.5384433,123.0594971,74.46,96.0,100.0,3.96,ID,1659133531.0
tautira,-27.145219,-109.430579,68.76,64.0,20.0,9.22,CL,1659133531.0
busselton,-33.644499,115.3488754,51.19,66.0,98.0,22.62,AU,1659133531.0
pacific grove,36.6211149,-121.9177944,77.81,76.0,40.0,10.36,US,1659133532.0
umm durman,15.6445536,32.4777311,84.92,61.0,39.0,9.55,SD,1659133532.0
bethel,60.7922222,-161.7558333,68.34,52.0,0.0,8.05,US,1659133533.0
little current,45.9800486,-81.9267993,67.41,76.0,50.0,17.6,CA,1659133533.0
penzance,50.1213173,-5.5329266,63.39,88.0,84.0,6.96,GB,1659133534.0
coari,-4.0885957,-63.1431166,83.34,50.0,18.0,1.43,BR,1659133534.0
kidal,18.4408358,1.4075395,89.62,41.0,51.0,4.85,ML,1659133535.0
flinders,-20.862898,144.2526073309786,54.03,75.0,0.0,16.02,AU,1659133535.0
ponta do sol,32.681067,-17.104073,74.7,82.0,2.0,4.61,PT,1659133536.0
pirganj,25.416289,89.3164095,79.86,88.0,85.0,5.88,BD,1659133536.0
awbari,26.5909391,12.7695658,88.32,14.0,0.0,7.96,LY,1659133537.0
north bend,47.4959464,-121.7851542,96.84,48.0,0.0,7.0,US,1659133511.0
katsuura,35.1521846,140.3207449,81.07,85.0,4.0,12.03,JP,1659133537.0
rocha,46.6705431,-1.4269698,64.62,82.0,0.0,4.61,FR,1659133538.0
ruatoria,-37.8919955,178.3187514,55.98,67.0,100.0,4.12,NZ,1659133538.0
avarua,-21.2074736,-159.7708145,76.98,78.0,75.0,12.66,CK,1659133539.0
gigmoto,13.7786693,124.3911728,80.62,87.0,100.0,8.88,PH,1659133539.0
alamor,-4.4788324,-80.4000864,86.0,40.0,4.0,12.01,PE,1659133540.0
vestmannaeyjar,63.42704985,-20.269317184750797,50.86,76.0,100.0,18.01,IS,1659133540.0
pafos,34.7743988,32.4231586,74.37,57.0,0.0,10.36,CY,1659133540.0
atuona,-9.77932315,-139.06194910808324,67.21,73.0,17.0,21.65,PF,1659133541.0
kuragino,53.888092,92.680222,57.51,91.0,54.0,2.1,RU,1659133541.0
labuhan,-6.891973,112.9897177,75.51,86.0,71.0,7.45,ID,1659133542.0
